Location;XYZCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
I-10-11;X;"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0";"LXJQVG;10.0"
I-14-13;X;"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0";"U95NWB;12.0"
H-16-21;X;"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5";"SMMRK3;9.5"
I-07-13;X;"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5";"8D9SAW;9.5"
I-10-21;X;"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5";"8D9SAW;10.5"
I-14-23;X;"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0";"8D9SAW;11.0"
I-15-11;X;"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0";"KUFVRI;11.0"
I-07-23;X;"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0";"I1KDJ0;8.0"
J-09-11;X;"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0";"AHR20O;10.0"
J-13-13;X;"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5";"KUFVRI;10.5"
